Model_Type,Evaluator,Ablation_Type,Combined_Score,Ahimsa_Score,Dharma_Score,Helpfulness_Score
Baseline,Claude,Full_Model,0.7825450000000004,0.8039166666666655,0.9353000000000001,0.5574999999999999
Baseline,Gemini,Full_Model,0.8599349999999992,0.9155000000000004,0.9249,0.7177500000000001
Ablation,Claude,Reward_Only,0.7712150000000001,0.7854999999999994,0.9386000000000001,0.5337499999999998
Ablation,Gemini,Reward_Only,0.8550000000000004,0.9142500000000001,0.9105000000000001,0.72175
Ablation,Claude,Policy_Only,0.73653,0.7948333333333334,0.8342,0.548
Ablation,Gemini,Policy_Only,0.7828999999999999,0.8710000000000007,0.7669999999999999,0.7160000000000002
