original_path,target_path,evaluator_type,model_type,seed,checkpoint,status
training_reports/evaluate_baseline_20250616_124658/eval_grpo_6_seed_2_4_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_final_gemini_20250616_131709.json,gemini,grpo6,2,final,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_final_gemini_20250616_134314.json,gemini,grpo7,3,final,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-1000_gemini_20250616_135035.json,gemini,grpo7,3,1000,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-2000_gemini_20250616_135608.json,gemini,grpo7,3,2000,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-3000_gemini_20250616_140052.json,gemini,grpo7,3,3000,success
training_reports/evaluate_baseline_20250616_124658/eval_grpo_7_seed_3_3_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-4000_gemini_20250616_140532.json,gemini,grpo7,3,4000,success
training_reports/evaluate_baseline_20250616_155043/eval_grpo_5_seed_1_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-1000_gemini_20250616_155728.json,gemini,grpo5,1,1000,success
training_reports/evaluate_baseline_20250616_155043/eval_grpo_5_seed_1_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2000_gemini_20250616_160252.json,gemini,grpo5,1,2000,success
training_reports/evaluate_baseline_20250616_155043/eval_grpo_5_seed_1_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-3000_gemini_20250616_160743.json,gemini,grpo5,1,3000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-1000_gemini_20250616_161829.json,gemini,grpo6,2,1000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-2000_gemini_20250616_162331.json,gemini,grpo6,2,2000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-3000_gemini_20250616_162825.json,gemini,grpo6,2,3000,success
training_reports/evaluate_baseline_20250616_161101/eval_grpo_6_seed_2_4_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/gemini_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-4000_gemini_20250616_163256.json,gemini,grpo6,2,4000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-1000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-1000_claude_20250616_165027.json,claude,grpo6,2,1000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-2000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-2000_claude_20250616_170511.json,claude,grpo6,2,2000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-3000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-3000_claude_20250616_171941.json,claude,grpo6,2,3000,success
training_reports/evaluate_baseline_20250616_164151/eval_grpo_6_seed_2_4_checkpoint-4000_anthropic_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_checkpoint-4000_claude_20250616_173252.json,claude,grpo6,2,4000,success
training_reports/grpo5-evals/eval_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-1000_claude_20250616_105642.json,claude,grpo5,1,1000,success
training_reports/grpo5-evals/eval_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2000_claude_20250616_111059.json,claude,grpo5,1,2000,success
training_reports/grpo5-evals/eval_checkpoint-2600_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-2600_claude_20250616_112440.json,claude,grpo5,1,2600,success
training_reports/grpo5-evals/eval_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_checkpoint-3000_claude_20250616_113953.json,claude,grpo5,1,3000,success
training_reports/grpo5-evals/eval_grpo_5_seed_1_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo5_seed1/eval_grpo5_seed1_final_claude_20250616_104059.json,claude,grpo5,1,final,success
training_reports/grpo6-grpo7-evals/eval_grpo_6_seed_2_4_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo6_seed2/eval_grpo6_seed2_final_claude_20250615_163057.json,claude,grpo6,2,final,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_final_claude_20250615_173752.json,claude,grpo7,3,final,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-1000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-1000_claude_20250615_175510.json,claude,grpo7,3,1000,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-2000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-2000_claude_20250615_180933.json,claude,grpo7,3,2000,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-3000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-3000_claude_20250615_182337.json,claude,grpo7,3,3000,success
training_reports/grpo6-grpo7-evals/eval_grpo_7_seed_3_3_checkpoint-4000_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/grpo7_seed3/eval_grpo7_seed3_checkpoint-4000_claude_20250615_182939.json,claude,grpo7,3,4000,success
training_reports/meta-llama-3.2-1B-baseline-eval/eval_Llama-3.2-1B-Instruct_benchmarking_20250510_135534-cleanprep-hashprompt.json,training_reports_clean/claude_evaluations/baseline/eval_baseline_final_claude_20250615_194913.json,claude,baseline,baseline,final,success
